學校名稱,計畫名稱,計畫場域,計畫經費 (TWD),SROI 指標與成效,執行重點與特色,資料來源
國立彰化師範大學,彰化風光 風光彰化,彰化縣二林鎮（萬興國民中學）、埔心國中、福興國中、寶山校區、彰化縣在地中小企業（42家廠商）,"3,025,000",協助42家廠商完成碳盤查，培訓25名師生獲得ISO14064證照。教師滿意度達4.5，活動滿意度達4.47，碳盤查服務滿意度達4.72。綠能微學程修課人次達2187人。,推動綠能USR微學程、開發身障生適用教具（打破教育不平等）、架設太陽能發電系統（如埔心國中）、協助中小企業節能減碳與ESG轉型。,50
朝陽科技大學,貓裏青農設計培力再生活化,苗栗縣大湖鄉（返青富民聯盟、山上種樹牛樟森林休閒農場、橘二代、茅鄉炭坊、貝岩居農場、春田窯、玉順紅棗園等）,"3,025,000",112年曾使用SROI計算，本年度改採問卷分析：返鄉青年對提升設計美學、故事行銷能力之滿意度達80%以上。開發17項農廢商品，協助茅鄉炭坊業績成長30%。,整合設計能量活化農廢（如小花蔓澤蘭皂、橘子枝鋼筆），建立「貓裏法默」共同品牌與電商平台，推動「以戰代訓」培力種子學員進行社會倡議。,51
華梵大學,無人機山區防災救災系統-石碇模式,新北市石碇區（石碇山區、雲海國小、石碇國小、石碇集順廟等）,"2,750,000",完成19班次飛手培訓（共163人參與），12人取得專業學科證、3人取得術科證。完成10處土石流潛勢區空拍紀錄。建立「石碇山區獨居長者關懷服務試辦計畫」。,研發特殊救災無人機（物流機可籌載3kg飛行10km），建立12里飛行廊道，提供偏鄉緊急物資運送（藥品、食物），具備「原場考照」優勢。,52
靜宜大學,淺山精靈的守護：生物多樣性的行動倡議與環境教育實踐,苗栗縣頭屋鄉（山貓森林）、台中大肚台地、沙鹿區晉江社區、校園生態場域、清水五福圳,"3,025,000",促成逾10位社會人士投入棲地購置（逾20萬元）。SDG15素養後測顯著高於前測（知識100%、態度91%提升）。發行《淺山帖》月刊於74處投放。,核心理念為「議題高度倡議，棲地低度介入」。建構永續議題創新教學平台(GIS)，發行科普月刊《淺山帖》，培育學生自主策展與社群經營（以戰代訓）。,53
龍華科技大學,樂生生樂—樂生公衞教育園區地方特色之發展,新北市新莊區、桃園市龜山區（樂生療養院園區）,"2,750,000",開發VR衛教遊戲、元宇宙平台與機器人導覽系統。拍攝4部主管追憶紀錄片，製作「樂生花草曆」與文創商品（如十三溝面磚杯墊）。舉辦2場大型院民關懷活動。,結合互動科技（VR/AR/元宇宙）與公衛教育，建立「流動教育中心」巡迴展出，透過文創設計與紀錄片翻轉地方創生，落實漢生病院民的溫馨陪伴與關懷。,54
中原大學,流動與鏈結：桃園埤圳文化與國際多元鏈結,國內：桃園市八德區竹霄社區、中壢區新興里、蘆竹區蘆竹里。國外：馬來西亞吉隆坡冷岳河流域。,"8,800,000",具體成果包括開發超過 10 樣在地文創商品、50 場以上在地課程、進行 2500 小時以上田野調查。,以「一埤塘、一學校、一社區」為願景，結合樂齡福祉、食養社造、設計創業策略，推動埤塘學教材與跨國設計思考水與城市議題。,55
嘉南藥理大學,永續安南環境生態與綠色產業,臺南市安南區（區公所、台江國家公園、土城國小、顯宮國小、南興國小、城西里、媽祖宮里、安南水資源回收中心等 14 個場域）。,"2,750,000","113 年辦理 17 場會議、31 場活動，計 2,002 人次參加。輔導企業完成 ESG 報告書，城西里及媽祖宮里取得低碳永續家園銅級認證。",包含「低碳永續幸福樂齡」、「在地產業綠色發展」、「環境議題融入教育」三大分項，推動生態旅遊、企業減碳輔導與數位環境教材。,56
國立臺灣科技大學,城南無限-都市山城與無限大學的永續共築計畫,臺北市文山區（萬年里、明興里）、大安區（大學里、芳和里、學府里）、中正區（富水里、水源里）；新北市中和區（南勢角郊山步道）；尼泊爾皮桑與帕賓。,"7,150,000",學府里、富水里取得韌性社區一星標章。環境防災教育教案獲得教育部數位教案徵選佳作。培訓 63 位防災士。,四大策略為區域防災與韌性提升、歷史文資保存與更新活化、智慧技術與環境防災教育及國際鏈結。建立防災對話機器人系統。,57
馬偕醫護管理專科學校,馬偕護 創生榮：活絡在地好所在，共享樂齡新生活,臺北市北投區（關渡里關懷據點、北投樂齡資源中心、一德里、北投公民會館、新石牌社區）。,"2,750,000",整體達成率達 95% 以上，健康促進系列滿意度 94%。提供 8 名弱勢族群配鏡。培訓 20 名馬偕特派員。,融入居家健康照護與在地文化，開設樂齡健康促進微學程，導入「化妝療法與美膚保健」，建立教師發展社群與創意藝術工坊。,58
亞洲大學,食品安全與健康的守護者,愛蔓延社會企業、萌寵生醫股份有限公司、王品餐飲股份有限公司、艾克索生物科技股份有限公司、萬生生機股份有限公司、中國醫附屬醫院、亞大附醫醫院、團膳公司,"2,750,000","已產出SRS社會影響力報告書。量化指標包含：減少食物浪費30,000公斤以上、使長者獲得營養飲食每日800人次以上、減少碳排放量40萬公斤以上、提供5個以上就業機會。",整合食農教育、食品安全、銀髮健康及寵物食品保健。特色包含協助愛蔓延-惜食廚房創造循環經濟，並開發無線傳能感溫監控半導體晶片應用於食安，連續六年獲國家新創獎。,59
實踐大學,內門文創生活之活化：文化為心、創意為魂、科技為魄,高雄市內門區、杉林區 (如：內門紫竹寺、木柵國小、觀亭國小、內南社區、三平社區),"2,750,000",計畫導入4Ds教學方法與PDCA循環。成效包含接待超過1500人次遊客、荔枝園病蟲害減少80%、宋江陣直播觀看累計2.4萬人、學生參與校外競賽獲鈦金、金、銀、銅獎。,以「價值共創」模式推動內門發展。核心模組包含：元宇宙導入傳統技藝（AR出菜秀、3D遊戲）、智慧無人機融入農業與群飛展演、偏鄉多元課輔（射箭、烘焙、英語）。,60
輔英科技大學,南高雄產業園區永續健康環境營造與環境教育拓展計畫,高雄市大寮區（大發工業區、永芳社區、大寮社區）、林園區（林園工業區、林園高中、林園夢工廠）,"3,025,000",計畫進入下半年度將開始進行SROI計算。目前成效包含：師生取得25張碳足跡主導查證員證書、環境教育課程學員認知平均成長15.5%、過去五年區域空品改善約16%。,針對南高雄工業污染問題，推動環安輔導與環境教育。特色包含開發太陽能空氣品質監測儀(FY-IAQM)、設計簡易直接空氣碳捕集塔、輔導社區獲營造競賽第一名並建立在地認同教材。,61
馬偕醫護管理專科學校,承載幸福，偏鄉傳愛,新北市貢寮區（家扶中心）、臺東縣臺東市（長青養護機構、花東偏鄉部落如太巴塱、南富、砂荖、利嘉）,"2,750,000",完成3個文健站義診義檢約200人次，發現高比例膽結石問題並轉介門諾醫院追蹤。照服員培力課程滿意度4.7分。113年活動網站串聯67場活動。,跨專業整合進入偏鄉。特色包含開設AI養護學程、運用AIoT「健康小站」進行遠距健康監測、辦理義廚活動活化在地食材、協助部落行銷及募集地震災後重建電腦設備。,62
台北海洋科技大學,魅力士社-深耕活化生態社子島,臺北市士林區社子島,"2,255,000","本計畫未提及具體 SROI 貨幣化數值。相關量化成效包含：辦理 26 場生態體驗活動共 1,405 人次參與；Line 社群及 FB 社團 560 人加入；培訓 10 名社子島導覽解說員；USR 相關課程 8 門共 222 人次修讀。",1.永續環境：開設生態環境及休閒活動課程，如水筆仔染布、環境教育講座。2.在地關懷：培育在地生態解說員，發展賞鳥、獨木舟、滑水、自行車等休閒產業。3.永續社區：建置「魅力社子島」網站與社群平台，串連利害關係人並傳遞在地知識與活動訊息。,63
國立嘉義大學,加糖笑瞇瞇─懸絲偶天團與糖文化的永續計畫,嘉義縣六腳鄉工廠村與糖廠週邊,"2,750,000","資料未提供具體 SROI 比率，但包含：臉書觸及 1,634 人次、瀏覽 6,040 次；YT 觀看 1,034 次、搜尋曝光 4,933 次；懸絲偶文創工作坊 9 場 230 人次，學員黏著度近五成。",搭建青銀共學平台，振興高齡人力生命力；梳理糖廠文史並建立數位資料庫；開發懸絲偶劇本與多語影片。特色包含平均年齡從 81 歲降至 44 歲的人才培育成果，及出版「嘉禮尪仔冊」劇目集。,64
國立暨南國際大學,水沙連未來教育行動聯盟,南投縣（埔里鎮國立暨南國際大學附屬高級中學、仁愛鄉發祥國小、埔里鎮受奉宮）,"3,025,000","資料未提供具體 SROI 數值。量化指標包含：修課學生 307 位、教師交流 5 場、服務人次達 2,789 人（福興小學堂）、國際外語社團輔導 1,233 人次。",整合在地 NGOs 與大學資源。執行重點包括偏鄉教育支持系統（三層級學習介入）、STEAM教育（如「防災課桌椅」獲創新技術博覽會銅牌）、國際教育培力（東南亞文化交流）。,65
國立臺灣師範大學,深耕偏鄉教育：深化、廣化、國際化、永續化,花蓮縣（玉東、富北、東里、富里、萬榮、美崙等國中）、臺東縣、澎湖縣、金門縣、連江縣及海外（土耳其、越南、泰北）,"8,250,000","正研習以 SROI 評估社會成本效益。現有成效：中小學診斷施測 10,692 人次、扎根班 292 班、遠距教學服務教師 93 人、受眾人次/課時達 29,624。",建立「PASSION 扎根創新教學模組」，實現高科技診斷與適性分班。推動普特融合（通用設計學習單）、國際教育支持（難民與偏鄉華語教學）。籌備 B 型企業「PASSION 適性學園」以求永續營運。,66
淡江大學,淡北風情e線牽、海陸旅遊全體驗,新北市淡水區（淡水河流域、大淡北地區）,"7,150,000","資料未提供具體 SROI 數值。成效包含：活動參與超過 23,900 人次、開設 35 門課程（1,500 名學生）、歷史餐宴銷售超過 1,700 桌、社群媒體展覽超過 10,000 人次參與。",五大面向：故事盤點、應用開發、體驗推廣、社群媒體及新創事業。核心亮點包括「滬尾宴」獲多項永續楷模獎、跨域繪本創作、開發元宇宙導覽，及育成團隊獲教育部 U-start 50 萬創業金。,67
龍華科技大學,牽手龜山—保育、人文、科技的共榮與昇華,桃園市龜山區、新北市樹林區及連江縣（南竿、北竿）,"3,300,000",資料未提供具體 SROI 數值。成效包含：復育棲地 4 處、資訊營隊 27 場（433 人次）、音樂會預估 400 人、新設大型解說牌累計 14 座、馬祖 2 鄉 3 校 4 社區 7 營隊實踐成果。,以螢火蟲復育為核心價值（SDG15），結合科技監控；透過資訊營隊縮減數位落差（SDG4）；推動社區營造（如塔寮坑音樂會、大型解說牌建置）。特色為 CSR 結合 USR（新日興公司認養棲地）及離島跨海服務。,68
國立清華大學,TNUNAN歌劇音樂會：以文化回應式教學推動泰雅醫療人才培育計畫,新竹縣尖石鄉嘉樂村、尖石國小、嘉興國小、新樂國小、尖石國中、泰雅學堂,"1,430,000",使用美國普林斯頓大學 STEAM Motivation Quotient 量表評估學習動機；音樂劇技能培育預期產出編劇、導演、文創設計師等職業技能；輔導學生參加國際機器人大賽獲冠軍及最佳人氣獎。,結合清大與臺大醫療 STEAM 課程；以在地史實編寫歌劇劇本；泰雅族語保存與專書出版；培育音樂與醫療跨域人才。,69
國立臺灣師範大學,打造高齡者數位包容智慧長健學苑計畫,臺北市大安區 (銀齡樂活據點、心田心理諮商所、揚生慈善基金會等)、新北市汐止區、新店區、宜蘭縣五結鄉、蘇澳鎮,"7,150,000",高齡者功能性體適能顯著改善 (83% 達標)；高齡者數位學習量表施測達良好 (平均 3.23~3.40 分)；學生社會實踐學習成果提升達 86%。,建立跨域長健人才培力學程；導入加速規與身體組成分析儀等智慧檢測；推動 WEB 3.0 客製化數位包容課程 (如影音創作)；舉辦高齡夢想市集串連產學資源。,70
國立臺灣科技大學,行動工程師培育計畫,國內：臺北市大安區 (公館城南)、宜蘭縣南澳鄉 (東岳部落、東澳國小)；國外：印尼、越南、日本、日本奈良、祕魯,"9,900,000",國內：優化生態渠道安全並建置魚菜共生系統，建立電器維修站解決居民需求；國外：於印尼建置太陽能滴灌及生物分解器，於越南改善校園廁所水電。學生國際移動力與解決真實問題能力顯著提升。,推動「在地國際化、國際在地化」；培育具有人文關懷的綠色工程師；跨國、跨校師生團隊 PBL 實作；協助偏鄉改善基礎設施與環境衛生。,71
逢甲大學,農村減碳-綠色諧能鏈結國際永續共好行動,國內：臺中市東勢區 (好樂農莊、振東柑園)、臺南市學甲區；國外：義大利、泰國 (清邁、清萊)、馬來西亞、蒙古、韓國,"8,800,000","協助農場建立 ESG 品牌並申請商標；導入生物炭技術協助盤查與減碳；協助台南青農獲得國科會計畫及創業競賽初選；蒙古植樹 1,100 棵楓樹；專利技術模組化成立衍生企業。",鏈結企業 ESG 與農場減碳雙贏模式；建立國際聯合研究實驗室 (CNR-IIA)；推動「科技農民學校」中英線上課程；跨領域 CDIO 專題式教學開發廢樹枝筆等綠色產品。,72
高雄醫學大學,永續荖濃人才培育與健康發展計畫,高雄市六龜區、桃源地區 (龍興國小、六龜國小、建山國小、興中國小、寶來國小、心路基金會據點),"2,750,000",協助特殊需求者建立正確口腔保健習慣 (心路據點長輩已能自行正確刷牙)；輔導課補學生升學並返鄉服務；兒童發展早期篩檢 (112-2 至 113-1 共 19 場)；培訓 35 位合格輔導員。,「假日學堂」科普與醫學轉譯教育；「良善陪伴」支持在地合唱團奪世界冠軍；職能治療早期篩檢後送機制；結合醫學大學專業開設 STEAM 創新培育課程。,73
國立勤益科技大學,想到鐵工就是台中—鐵工藝術再創新猷,臺中市太平區（陳庭詩紀念館、太和宮、太平古農莊、臺中市屯區藝文中心）、大里區（大里工業區廠商協進會）、南區（文化部文化資產園區）、北區（台中科技大學）、中區（台中驛鐵道文化園區）、霧峰區（光復新村）、豐原區（台中市立葫蘆墩文化中心）,"2,750,000",依據 SROI 指引進行評估。學生議合 181 人（精進團隊合作與校外交流）、計畫團隊 7 人（提升地方服務動機）、外部夥伴 11 人（有效建立地方夥伴關係）。問卷滿意度與認同度均達 4.1 分以上（5 點量表）。,以文化永續為核心，聚焦鐵工藝術。包含開發文創商品、培育鐵工職人、製作歷程檔案、優化社區景觀、舉辦展覽活動及整合行銷鐵工藝術節等六大分項。特色亮點為傳統產業活化案例參訪與青銀共創效果。,74
國立彰化師範大學,生態家園・城鄉永續：彰化生態藝術計畫,彰化縣彰化市（彰化縣教育處、彰化市公所、彰化縣藝術高級中學、彰化市第二樂齡學習中心、香山生態園區、彰化基督教醫院、彰師進德/寶山校區、南郭國小、彰師附工等）,"2,750,000",結合 SROI 評估。問卷量化肯定達 4.5-4.86 分。人才培育面向：修課人次達 421 人，學生因參與園藝療育、生態導覽等課程提升專業能力與環境意識。場域服務人次達 283 位。,以氣候行動與在地關懷為重點。結合生態植栽、環境藝術與園藝治療。特色包括跨院系共授課程、培育年輕樂齡師資進入社區巡迴、以及與王道銀行 ESG 結盟辦理生態藝術展覽。,75
國立臺灣大學,攜手•雲林-特色農業產區 深耕產業鏈結,雲林縣全縣（重點包含莿桐鄉、斗南鎮、元長鄉、口湖鄉、林內鄉、褒忠鄉、斗六市、古坑鄉等）,"7,480,000",農友對技術及病蟲害管理有顯著進步；60-70歲農民對加工技術興趣高，40-50歲農民對管理行銷興趣高。獲2024 TSAA台灣永續行動獎金獎。動醫診斷案件共8836件，植醫診斷超過70件。,深耕農產業鏈結。核心包含植醫診斷、動醫診療、農經管理及生傳食農教育。特色為行動診療車下鄉服務、蒜種/竹筍脫毒計畫、以及推動台大與雲林青農聯名品牌與農夫市集。,76
逢甲大學,臺中市文化城中城地方創生計畫：生活故事書院,臺中市舊城區（涵蓋中區、東區、南區、西區、北區，核心基地為臺中公園地下停車場「舊城綠町故事館」）,"2,750,000",運用 IOOI 模型評估。協助在地弱勢長者擔任走讀講者獲取生活資源；帶動樂成宮周邊店家營收提升 15%。學生透過專題製作對舊城認同感顯著提升。FB觸及率達58.6k。,結合空間資訊技術（3D建模、UAV、StoryMaps）進行數位人文創生。重點特色為透過 CSR 合作創立「舊城綠町故事館」作為基地，並產出大量微雜誌、數位導覽地圖及行銷短影音以保存及傳遞在地故事。,77
佛光大學,建構宜蘭茶產業永續發展的跨領域人才共培機制,宜蘭縣冬山鄉中山休閒農業區、正福茶園、小山茶寮、東北角國家風景區,"2,750,000",透過李克特五點量表評估 243 位學生對課程及活動滿意度，回收率 99%；修課學生 447 人，活動參與 1983 人次；HACCP 證照取得 27 名；柚花香氛研發預估創造 156 萬元商機。,培育跨領域 π 型人才（侍茶師與設計師）；推動茶產業六級化與生態旅遊結合；運用 VR/AR 技術於茶文化導覽；與故宮聯名開發茶食禮盒；「大手牽小手」跨學制共學模式。,78
國立雲林科技大學,從心靈遍路到智能觀光：雲林朝聖廊帶的地方設計,雲林縣北港鎮（朝天宮、義民廟、傳統工藝協會）、西螺鎮（福興宮、廣福宮、延平老街、東南國中、文昌國小）,"3,025,000",開設 17 門課程，參與學生 1039 人（涵蓋研究所至國小生）；辦理 9 場宮廟即博物館活動，參與學生 208 人；人文藝術調查 47 件，設計領域產出 48 件作品；透過管考會議追蹤質量化 KPI 指標。,建立宮廟文化網絡及「遍路」巡禮路線；開發智能觀光互動裝置與 AR 濾鏡（菼社詩詞）；考察日本佐原大祭與四國遍路模式進行文化轉譯；推動在地工藝與民俗資產登錄。,79
耕莘健康管理專科學校,~為愛走動 莘口相連-讓愛傳出去 口腔照護服務交流計畫,新北市新店區（寶興護理之家、廣恩老人養護中心）、烏來區（忠治部落、信賢部落）、宜蘭縣三星鄉（宜蘭勁好園、三星尊親館）,"3,300,000",112-113 年共開設 18 門課程，修課學生 1119 人次；場域服務 83 場，參與長者 1360 人次，平均滿意度 4.87 分；研發口腔保健產品如靈芝蜂膠牙膏；訓練菲律賓機構成員返國推動照護。,建構「食力、體力、腦力」跨專業訓練；研發口腔照護虛擬實境 VR 訓練系統；結合 Kebbi 機器人開發舌苔檢測 APP；跨國產學合作（菲律賓服務交流）；落實特殊需求族群在地關懷。,80
南臺科技大學,青銀共創打造在地智慧自在不老力,臺南市南區鯤鯓社區、臺南市南區金華社區、臺南市中西區溫陵社區,"8,800,000",辦理 SROI 工作坊作為第三方驗證工具。質化成效包括溫陵社區長輩走路穩定度增加 30%、速度增加 19%、下肢肌力增加 12%；提升長輩自信與建立據點社群。,導入運動自主健康樂活；精準健康照護與社會照顧網絡建置；優化居家安聯網及開發智慧生活輔具；培育「在地銀髮業師」及「小小照服員」人才。,81
國立暨南國際大學,Walk Tall：戶外教育學習生態系統創新計畫,南投縣埔里鎮（暨大戶外探索中心、埔里國中小、桃米社區）、魚池鄉（日月潭月牙灣）、鹿谷鄉（秀峰國小）、水里鄉（水里國小）、竹山鎮（大鞍國小）,"3,300,000",學習成效評估顯示 90% 學生增進地方知識認識；水域活動有效提升學童安全意識。計畫提及將參與 SROI 評估工作坊以提升評估能力。,串接戶外教育社群、培育專業證照人力（定向越野、繩索等）、編修戶外教育教案、建置安全學習場域（如鐘靈國小轉型登山教育基地）。,82
國立陽明交通大學,部落之星：智慧偏鄉健康培力計畫,宜蘭縣南澳鄉（南澳村、武塔村等 7 個村落 8 個文健站）,"7,150,000",透過 SROI 社會影響力評估強化專案管理。具體成效包含長者走路穩定度增加 30%、速度增加 19%、下肢肌力增加 12%；培訓 281 位偏鄉醫療師資。,建立具文化敏感度之醫療照護；研發「人文智慧健康照護微學程」；建構泰雅語用藥健康歌與糖尿病足「獵人地圖」知識模組；開發慢性病個案管理系統。,83
美和科技大學,漁網石斑 靚食啖鮮-屏東石斑魚產業鏈加值計畫,屏東縣枋寮鄉（枋寮區漁會第四產銷班、藍皮意象館）,"2,751,000",採用柯氏四階層模式評估反應、學習、行為與結果。成效包括研發常溫石斑魚雨來菇輕食粥，並於國際照顧博覽會推廣，提升在地漁產附加價值。,分散銷售市場至東南亞與日本；建立屏東石斑魚產銷平台；輔導強化養殖生產管理機制（食安檢測）；形塑石斑魚在地文化觀光。,84
長庚科技大學,保骨防跌、樂活膳食、科技失智辨識–永續高齡友善社區計畫,桃園市龜山區（樂善里、文青里、陸光里、大同里、嶺頂里、楓福里）,"3,500,000 (補助 275萬 + 自籌 75萬)",提及未來將參與 SROI 評估工作坊。實質成效包括長者防跌知識由 50% 提升至 100%；透過 AI 科技完成 100 份失智辨識報告並提升長者肌力。,保骨防跌（居家環境評估）；樂活膳食（食農教育、養生循環菜單開發）；科技失智辨識（導入 AI 機器人與 VR 體驗）；提升長照識能。,85
中華大學,馥活茶花智慧創生計畫,新竹市香山區佳信茶花園、新竹縣竹東鎮東鄉茶花園、中華大學校園、新竹縣寶山鄉,"3,025,000",資料未提供具體SROI數值。成效指標包含：累計54門茶花相關課程、2480人修課；五屆中華茶花祭累積1610人次；建置茶花元宇宙虛實平台2式。,推動五大主軸議題（場域空間延伸、文化保存、產品設計、茶花經驗傳承），實踐12項行動策略。特色包含打造茶花元宇宙虛擬實境平台、開發低碳小旅行遊程、人才培育課程（如茶花小導遊、小老師）。,86
國立暨南國際大學,水沙連產業永續發展計畫-產業鏈結x跨域人才x國際合作,南投縣埔里鎮（暨大地方產業創生中心、水沙連地區產業）、泰國清邁大學、越南大叻大學、日本信州大學、高知大學、龍谷大學,"10,450,000",資料未提供具體SROI數值。成效指標包含：2024年共119場活動，4853人次參與。輔導咖啡農獲卓越盃第二名，學生獲全國遊程設計競賽優勝。,聚焦咖啡、觀光及特色產業永續發展。特色為「借鏡日本、前進東南亞」，成立臺泰大學聯盟。實施咖啡技術論壇、南投永續旅遊講堂、開發數位科技應用（如精油辨識系統）。,87
國立高雄師範大學,原民築夢創生機—瑪家鄉原民產業創新加值,屏東縣瑪家鄉（六村八社區）、台東卑南鄉與太麻里鄉,"2,750,000",資料未提供具體SROI數值。成效指標包含：開發4項文創伴手禮（鼻笛、原築棋等）；樂齡運動課程185人次參與；辦理3場遊程體驗（47人次）。,四大核心：原民產業創新設計、行銷經營、樂齡健康運動、人才培育。特色包含將傳統圖騰與自造科技（雷雕）結合開發文創品、建立部落產業銷售平台、辦理運動指導人才研習營。,88
淡江大學,為樂齡而行：跨代原力、青銀共創,新北市淡水區（淡江大學校區、周邊鄰里活動中心、民生社區）、三芝區、石門區,"3,025,000","計畫規劃計算SROI但未列出最終數值。成效指標包含：樂齡運動班4,390人次、樂齡志工122人次、高齡者服務實習54場（服務300人）。",推動「淡江大學高齡健康服務人才培力學分學程」。特色為「青銀共創」與「樂齡指導樂齡」模式，招募樂齡指導員。包含樂齡健康列車、正向發展及代間學習模組。,89
長庚科技大學,多元新視界，攜手嘉移人,嘉義縣民雄鄉（越在嘉文化棧）、新港鄉（扶緣服務協會）、朴子市（嘉義長庚醫院、海區新住民中心）,"3,000,000","資料未提供具體SROI數值。成效指標包含：113年共130場活動，3,569人次參與；提升498人次移民工照護技能；滿意度平均高於4.8分。",三大子計畫：文化精進、健康無限、照護培力。核心特色為「跨文化護理教育」，發揮護理專業優勢，建置醫院多元文化友善空間、製作印尼語衛教影音、辦理移工CPR培訓。,90
亞洲大學,永續高齡失智友善包容社區：數位創新x護智處方x社會共融,固定實踐場域：台中市霧峰區北柳、六股、本鄉、舊正、吉峰、五福社區發展協會；其他性質場域：台中市大里區大大人小小孩多元智慧中心,"7,150,000",本計畫參考 SROI 概念與架構，於 112 年進行「SROI 應用於 USR」沙龍講座，113 年進行「SROI 實作演練工作坊」。後續將請專家協助完成計算以確認社會影響力。目前藝術處方箋參與長輩回饋提升社會共融程度達 4.7-4.75 分。,與5學院、7系所合作，開設「長期照護人工智慧應用跨領域學程」及增設「長期照護學系」。執行護智四大處方（紓壓、認知、地中海餐、運動），並開發生成式 AI 虛擬人教案及失智繪本。,91
南臺科技大學,點亮左鎮相放伴—創意生活加值計畫,固定實踐場域：臺南市左鎮區左中社區、公舘社區、光榮社區。進駐地點：向左走種子驛站（老街老屋）。,"2,750,000",計畫已納入地創活動產值、外來人數、學生作品授權等指標進行社會影響力評估。目前駐點工作站已達 1475 人次到訪，辦理 24 場場域共識會議。,設置在地工作站「向左走種子驛站」，推動議題整合、左鎮創生、循環經濟、創意樂齡、文化傳承、科技應用六大子計畫。特色活動包含草山野燒營、化石粉筆 DIY、左鎮好食刻餐桌及老街視覺掛布。,92
國立聯合大學,聯合IN苗栗加速食農教育→永續環境,固定實踐場域：苗栗市貓裏休閒農業區、西湖鄉湖東休閒農業區、苗栗縣農會、苗栗市建臺高級中學、西湖國民中學。,"2,750,000",透過意見回饋、滿意度調查及食安檢測數據收集評估。目前活動參與人數約 2300 人，滿意度調查平均值達 90.30%。,以食安檢測為基礎，推動食農教育與客家文化。建置農藥殘留檢測資料庫與資訊網路平台。亮點包含碳寶寶咧洗褲（碳封存）、葡萄酒與高粱酒釀造體驗及手搓愛玉等體驗活動。,93
國立高雄科技大學,無碳理想 淨零橋楠,固定實踐場域：高雄市楠梓區（國昌國中、楠梓國小、翠屏國中小等多所學校、清豐里、加昌里、油廠社區）、橋頭區（橋頭國小、興糖國小、安田農業）。,"7,480,000","依據 SROI 進行評估，結果顯示每投入 1 元可創造 1.148 元的社會價值。量化成果包含參與社區實踐活動達 1,617 位。",四大策略包含共好平台、智慧科技、種子人才培育及人文關懷。導入 UAV 進行川廢快篩與農地巡視，研發廢乾粉滅火器製備肥料及魷魚骨萃取幾丁聚醣。推動淨零學程與公民意識工作坊。,94
文藻外語大學,藻到新力亮～文藻USR新住民/新移工關懷培力計畫,固定實踐場域：高雄站前南國商圈社區、勵志新城乙區、岡山國小灣裡分校、永安區維新國小。,"2,750,000",透過問卷與訪談評估。課程「公民參與」面向呈現高度顯著提升。市集活動如「不認識就不愛」單場吸引約 1000 人次參與。與合作夥伴之合作經驗皆為滿意。,聚焦新移民關懷與多元文化。建構「跨域創新前瞻人才培力模式」。特色活動包含「藻到南國好聲音」音樂比賽、東南亞文化系列講座及錄製 Podcast 節目。推動語文專業協助新住民子女。,95
國立臺灣科技大學,共好 Spark : 走在我的身邊，成為我的夥伴,高雄市甲仙區小林國民小學、宜蘭縣南澳鄉東澳國民小學、臺東縣池上鄉池上國民中學、新北市三芝區新北皇冠海岸聯盟(三芝/石門/老梅國小)、花蓮縣秀林鄉銅門國民小學、雲林縣元長鄉歐旻慈善基金會(雲林守望幸福園區),"3,025,000",採用哈佛大學零點計畫(Project Zero)工具箱，以數量、程度、時間為指標。夏校參與學生第三期79人；擴展國際合作夥伴如 University of Oregon 等；與小林合作達14年，顯示長期穩定關係。,聚焦發展場域特色課程，將地方情境融入 SnDEAM 教學架構。組建多元文化與專業背景的學生團隊。核心包含「一日大學生」、CSR同儕夥伴協作、大樹X小林跨校共學及沈浸式夏校營隊。,96
國立虎尾科技大學,農業共學地方創生世代共好—取徑綠心到綠港之價值共創,雲林縣虎尾鎮拾蚯樂永續社會企業、大埤鄉雲林縣農業經理人協會、西螺鎮和心蔬菜、北港鎮祥發蘭園、水林鄉微醺農場、臺南市學甲區幸福良食、雲林縣土庫鎮精緻農業生產合作社,"8,800,000",參考 SROI 社會影響力評估機制。量化成效包括：畢業生投入農業比例 63.37%；通過有機轉型期面積 157 公頃；培育 50 位專業有機稽核員；獲得 2024 永續行動獎金級與遠見雜誌生態共好首獎。,三大目標為「在地農業，人才培育」、「環境永續，淨零農業」及「有機農業，價值創造」。推動有機及產銷履歷驗證稽核培訓、無人機飛手訓練，並打造淨零生態服務系統。,97
實踐大學,囊螢東高【與南島語族相遇】創課微旅：螢光發掘、囊袋維持陪伴計畫內山篇,高雄市內門區內門西拉雅多元族群文化歐洲線、旗山區旗山水圳生態日本線、旗山生活文化園區2樓、內門區與南島語系族群相遇,"3,025,000",上半年達成率133.96%。課程帶來的學習貢獻正向成長0.59分。引導在地物產獲得ITI國際風味認證3張。補助6位優秀學生赴菲律賓參加 LAKBAY 國際青年共學營隊。,以「南島語族相遇」故事為底，發展自然環境馬頭山、文化敘事西拉雅、食農生態圓潭圳特色方案。引進龍后(布袋球)運動作為高齡健康促進與跨世代共學教材，並建置地方學資料庫。,98
