關鍵字,學校數,學校清單（114年）
茶產業,1,國立臺北大學
流域生態,1,國立臺北大學
文資活化,1,國立臺北大學
高齡社區照顧,1,國立臺北大學
學老推廣,1,國立臺北大學
樂齡社區,1,國立臺北大學
在地共融,1,國立臺北大學
北大特區,1,國立臺北大學
鶯歌陶瓷,1,國立臺北科技大學
工藝傳承,1,國立臺北科技大學
陶瓷再生,1,國立臺北科技大學
永續材料,1,國立臺北科技大學
心理健康,1,國立臺北護理健康大學
感覺統合,1,國立臺北護理健康大學
智慧健康管理,1,國立臺北護理健康大學
幼兒動作發展,1,國立臺北護理健康大學
永續農遊,1,國立臺中科技大學
山城觀光,1,國立臺中科技大學
循環設計,1,國立臺中科技大學
樂齡關懷,1,國立臺北護理健康大學
足部照護,1,國立臺北護理健康大學
音樂輔療,1,國立臺北護理健康大學
預立醫療,1,國立臺北護理健康大學
低碳生活圈,1,國立臺北大學
三鶯樹地區,1,國立臺北大學
永續治理,1,國立臺北大學
三峽綠茶季,1,國立臺北大學
教育創生,1,國立臺南大學
七股偏鄉,1,國立臺南大學
永續校園,1,國立臺南大學
青銀共好,1,國立臺北護理健康大學
長照創新,1,國立臺北護理健康大學
失智關懷,1,國立臺北護理健康大學
科技輔具,1,國立臺南大學
自製輔具,1,國立臺南大學
都歷部落,1,國立臺東大學
阿美族文化,1,國立臺東大學
低碳文旅,1,國立臺東大學
影像教育,1,國立臺南藝術大學
社區影像培力,1,國立臺南藝術大學
歷史影像修復,1,國立臺南藝術大學
南瀛地方文化,1,國立臺南藝術大學
社區記憶,1,國立臺南藝術大學
建農里,1,國立臺東大學
社區賦權,1,國立臺東大學
學習型社區,1,國立臺東大學
零農廢,1,國立臺東大學
復健型菜園,1,國立臺東大學
永續農林,1,國立臺灣大學
民族植物,1,國立臺灣大學
山林社區,1,國立臺灣大學
高齡友善,1,國立臺南大學
藝術介入社區,1,國立臺南大學
街區走讀,1,國立臺南大學
銀同社區,1,國立臺南大學
義竹鄉,1,國立臺南大學
在地氣候行動,1,國立臺灣大學
環境舒適度健檢,1,國立臺灣大學
科學社會溝通,1,國立臺灣大學
空氣品質監測,1,國立臺灣大學
廟宇環境治理,1,國立臺灣大學
社區微氣候,1,國立臺灣大學
部落觀光,1,國立臺東大學
責任旅遊,1,國立臺東大學
山海部落,1,國立臺東大學
森林碳匯,1,國立臺東大學
藍碳復育,1,國立臺東大學
公民電廠,1,國立臺東大學
永續農村營造,1,國立臺灣大學
植物醫學,1,國立臺灣大學
經濟動物防疫,1,國立臺灣大學
碳管理,1,國立臺灣大學
幸福老化,1,國立臺灣大學
萬華社區,1,國立臺灣大學
安寧終老,1,國立臺灣大學
高齡科技,1,國立臺灣大學
健康體適能,1,國立臺灣大學
藝術療癒,1,國立臺灣大學
雙溪河流域,1,國立臺灣海洋大學
山海經濟,1,國立臺灣海洋大學
養殖漁業,1,國立臺灣海洋大學
漁村永續,1,國立臺灣海洋大學
藍色經濟,1,國立臺灣海洋大學
永續養殖,1,國立臺灣海洋大學
城鄉共生,1,國立臺灣科技大學
里海漁鄉,1,國立臺灣海洋大學
沿海漁村,1,國立臺灣海洋大學
低碳養殖,1,國立臺灣海洋大學
健康樂齡,1,國立臺灣科技大學
都市山城,1,國立臺灣科技大學
聚落文化保存,1,國立臺灣科技大學
環境防災教育,1,國立臺灣科技大學
生態博物館,1,國立虎尾科技大學
虎尾糖都,1,國立虎尾科技大學
健康飲食,1,國立虎尾科技大學
水資源改善,1,國立臺灣科技大學
自主防災,1,國立臺灣科技大學
創客教育,1,國立臺灣科技大學
原鄉社區,1,國立臺灣科技大學
創齡實踐,1,國立臺灣師範大學
生命敘說,1,國立臺灣師範大學
數位包容,1,國立臺灣師範大學
都市社區,1,國立臺灣師範大學
水資源循環,1,國立虎尾科技大學
沿海偏鄉,1,國立虎尾科技大學
永續工藝,1,國立虎尾科技大學
智慧減碳,1,國立虎尾科技大學
三生共好,1,國立虎尾科技大學
雲林花卉,1,國立虎尾科技大學
綠色人才,1,國立虎尾科技大學
生態教育,1,國立虎尾科技大學
溫室減碳,1,國立虎尾科技大學
超高齡社區,1,國立金門大學
永續水資源,1,國立金門大學
海洋生態教育,1,國立金門大學
氣候變遷調適,1,國立金門大學
AI科技應用,1,國立金門大學
韌性農村,1,國立雲林科技大學
淺山茶產業,1,國立雲林科技大學
桂林社區,1,國立雲林科技大學
新竹六燃,1,國立陽明交通大學
文資保存,1,國立陽明交通大學
霜毛蝠保育,1,國立陽明交通大學
生物藝術,1,國立陽明交通大學
歷史記憶,1,國立陽明交通大學
獨居長者,1,國立陽明交通大學
在地安老,1,國立陽明交通大學
科技照護,1,國立陽明交通大學
全齡社區,1,國立陽明交通大學
青年留鄉,1,國立雲林科技大學
土庫老街,1,國立雲林科技大學
農業人才培育,1,國立虎尾科技大學
碳匯耕作,1,國立虎尾科技大學
雲林農村場域,1,國立虎尾科技大學
動漫教育,1,國立雲林科技大學
雲林斗南,1,國立雲林科技大學
斗南火車站,1,國立雲林科技大學
動漫遊戲,1,國立雲林科技大學
智能觀光,1,國立雲林科技大學
心靈遍路,1,國立雲林科技大學
地方設計,1,國立雲林科技大學
雲林朝聖廊帶,1,國立雲林科技大學
田寮月世界,1,國立高雄師範大學
惡地地貌,1,國立高雄師範大學
竹編工藝,1,國立高雄師範大學
地景教育,1,國立高雄師範大學
教育旅遊,1,國立高雄師範大學
產業轉型,1,國立高雄師範大學
淨零減碳,1,國立雲林科技大學
農業廢棄物,1,國立雲林科技大學
綠色供應鏈,1,國立雲林科技大學
碳足跡盤查,1,國立雲林科技大學
環保教育,1,國立雲林科技大學
畜牧產業,1,國立雲林科技大學
科學教育,1,國立高雄大學
動手實作,1,國立高雄大學
地酒文化復育,1,國立高雄餐旅大學
台中外埔,1,國立高雄餐旅大學
地酒釀造,1,國立高雄餐旅大學
休閒酒莊,1,國立高雄餐旅大學
在地作物復育,1,國立高雄餐旅大學
萬年溪流域,1,大仁科技大學
幼兒環保教育,1,大仁科技大學
低碳餐飲,1,國立高雄餐旅大學
食物設計,1,國立高雄餐旅大學
粄食文化,1,國立高雄餐旅大學
科技養殖,1,國立高雄科技大學
海洋永續,1,國立高雄科技大學
田寮惡地,1,國立高雄餐旅大學
品牌推廣,1,國立高雄餐旅大學
特色農產加工,1,國立高雄餐旅大學
差異共融,1,大同大學
輔具設計,1,大同大學
友善空間設計,1,大同大學
跨域實踐,1,大同大學
彰化大村,1,大葉大學
農廢文創,1,大葉大學
茶產業升級,1,大葉大學
南投竹山,1,大葉大學
茶學教育,1,大葉大學
八卦台地,1,大葉大學
里山精神,1,大葉大學
高雄內門,1,實踐大學
宋江陣,1,實踐大學
總鋪師文化,1,實踐大學
新住民共融,1,實踐大學
神農信仰,1,實踐大學
文化創藝,1,實踐大學
西拉雅文化,1,實踐大學
文化走讀,1,實踐大學
農漁廢棄物再生,1,崑山科技大學
生物炭應用,1,崑山科技大學
社區永續韌性,1,崑山科技大學
智慧食農,1,崑山科技大學
農村文化,1,崑山科技大學
青銀共餐,1,崑山科技大學
農業剩餘物,1,崑山科技大學
臺南農村,1,崑山科技大學
漸凍症照護,1,實踐大學
科技生活設計,1,實踐大學
照護輔具設計,1,實踐大學
運動神經元疾病,1,實踐大學
中心新村,1,實踐大學
北投學,1,實踐大學
礦泥染,1,實踐大學
數位觀光,1,崑山科技大學
臺南濕地,1,崑山科技大學
台江,1,崑山科技大學
竹構技藝,1,崑山科技大學
竹籠茨,1,崑山科技大學
在地信仰,1,崑山科技大學
白冷圳水流域,1,嶺東科技大學
農創品牌,1,嶺東科技大學
包裝設計,1,嶺東科技大學
農遊體驗,1,嶺東科技大學
飲食文化,1,嶺東科技大學
故事繪本,1,嶺東科技大學
二林西庄社區,1,建國科技大學
紅薏仁產業,1,建國科技大學
品牌設計,1,建國科技大學
里海倡議,1,弘光科技大學
高美濕地,1,弘光科技大學
魚寮古厝群,1,弘光科技大學
環境自力營造,1,弘光科技大學
無人機應用,1,弘光科技大學
環境監測,1,弘光科技大學
流浪動物保育,1,弘光科技大學
志工培力,1,弘光科技大學
河道巡檢,1,弘光科技大學
甲安埔地區,1,弘光科技大學
創意包裝,1,弘光科技大學
綠色永續認證,1,慈濟大學
綠色行銷,1,慈濟大學
震後產業轉型,1,慈濟大學
永續時尚,1,德明財經科技大學
公益布料平台,1,德明財經科技大學
綠色紡織,1,德明財經科技大學
單一材質循環,1,德明財經科技大學
減碳倡議,1,德明財經科技大學
北北桃紡織聚落,1,德明財經科技大學
中部沿海,1,弘光科技大學
低碳家園,1,弘光科技大學
台三線客家,1,敏實科技大學
智慧製茶,1,敏實科技大學
農業碳權,1,慈濟大學
團結經濟,1,慈濟大學
永續消費,1,慈濟大學
食物森林,1,慈濟大學
三峽歷史街區,1,明志科技大學
全球在地化,1,明志科技大學
國際培力,1,明志科技大學
河川廢棄物,1,明志科技大學
魚菜共生,1,明志科技大學
水質改善,1,明志科技大學
科技教育,1,文藻外語大學
美感教育,1,文藻外語大學
弱勢學童扶助,1,文藻外語大學
數位內容應用,1,文藻外語大學
偏鄉小學,1,文藻外語大學
跨文化溝通,1,文藻外語大學
數位學習,1,文藻外語大學
國際志工,1,文藻外語大學
弱勢族群培力,1,文藻外語大學
漁村社區,1,文藻外語大學
跨國教育交流,1,文藻外語大學
書院文化,1,明志科技大學
技藝傳承,1,明志科技大學
移工社會支持,1,明志科技大學
河川監測,1,明志科技大學
國際文化交流,1,明志科技大學
跨文化共學,1,明志科技大學
英語素養,1,明志科技大學
新住民文化,1,明志科技大學
社區圖書館,1,明志科技大學
性別平等教育,1,明志科技大學
智慧樂齡,1,明新科技大學
延展實境,1,明新科技大學
高齡體適能,1,明新科技大學
新竹新豐,1,明新科技大學
樂齡科技,1,明新科技大學
鳳山溪流域,1,明新科技大學
河川生態,1,明新科技大學
綠色材料,1,明新科技大學
人工智慧應用,1,明新科技大學
水資源保育,1,明新科技大學
企業ESG,1,明志科技大學
綠色轉型,1,明志科技大學
綠色永續設計,1,明志科技大學
產學共創,1,明志科技大學
幼老共園,1,朝陽科技大學
幼老共學,1,朝陽科技大學
代間教育,1,朝陽科技大學
幼兒保育,1,朝陽科技大學
賽夏族文化,1,明新科技大學
竹文化產業,1,明新科技大學
竹林碳匯,1,明新科技大學
竹構工藝,1,明新科技大學
五峰鄉,1,明新科技大學
友善農安,1,朝陽科技大學
循環農業,1,朝陽科技大學
無毒耕作,1,朝陽科技大學
客家聚落,1,朝陽科技大學
水圳生態,1,朝陽科技大學
霧峰北溝,1,朝陽科技大學
熟齡身心健康,1,東吳大學
社區教練,1,東吳大學
銀髮產業,1,東吳大學
腦力活化,1,東吳大學
河川守護,1,東海大學
水環境教育,1,東海大學
里川生活,1,東海大學
水文化教育,1,東海大學
青農培力,1,朝陽科技大學
永續設計,1,朝陽科技大學
農村工藝,1,朝陽科技大學
苗栗農村,1,朝陽科技大學
電動運具,1,樹德科技大學
智慧城市,1,樹德科技大學
綠色交通,1,樹德科技大學
碳足跡,1,樹德科技大學
高雄燕巢,1,樹德科技大學
家具設計,1,樹德科技大學
橫山共創基地,1,樹德科技大學
樂齡劇場,1,東南科技大學
銀髮體適能,1,東南科技大學
深坑石碇平溪,1,東南科技大學
智慧共生,1,樹德科技大學
高雄梓官,1,樹德科技大學
美濃湖,1,樹德科技大學
低碳水域運動,1,樹德科技大學
中圳社區,1,樹德科技大學
旱坑社區,1,玄奘大學
柿產業文化,1,玄奘大學
文化創生,1,玄奘大學
心靈環保,1,法鼓文理學院
金山水梯田,1,法鼓文理學院
農業碳盤查,1,法鼓文理學院
金山跳石芋頭,1,法鼓文理學院
原民文化資產,1,正修科技大學
文物修護,1,正修科技大學
文創設計,1,正修科技大學
文物保存教育,1,正修科技大學
歷史走讀,1,淡江大學學校財團法人淡江大學
特色餐宴,1,淡江大學學校財團法人淡江大學
在地觀光,1,淡江大學學校財團法人淡江大學
文化資產,1,淡江大學學校財團法人淡江大學
親子教育,1,經國管理學院(112.08.01更名「德育護理健康學院」)
體驗設計,1,經國管理學院(112.08.01更名「德育護理健康學院」)
基隆社區,1,經國管理學院(112.08.01更名「德育護理健康學院」)
兒童產業,1,經國管理學院(112.08.01更名「德育護理健康學院」)
社區走讀,1,經國管理學院(112.08.01更名「德育護理健康學院」)
親子共遊,1,經國管理學院(112.08.01更名「德育護理健康學院」)
產業六級化,1,正修科技大學
客庄小旅行,1,正修科技大學
大學城共創,1,淡江大學學校財團法人淡江大學
里山里海,1,淡江大學學校財團法人淡江大學
街道博物館,1,淡江大學學校財團法人淡江大學
文化安全照顧,1,美和科技大學
原鄉長者照護,1,美和科技大學
排灣族文化,1,美和科技大學
屏東來義鄉,1,美和科技大學
代間傳承,1,美和科技大學
部落關懷,1,美和科技大學
部落旅遊,1,玄奘大學
智慧導覽,1,玄奘大學
心理健康促進,1,玄奘大學
五峰鄉部落,1,玄奘大學
屏東新園,1,義守大學
失智延緩照護,1,美和科技大學
原民部落服務,1,美和科技大學
高齡口腔保健,1,美和科技大學
高齡膳食營養,1,美和科技大學
健康樂活,1,義守大學
世代共榮,1,義守大學
農棄物再利用,1,耕莘健康管理專科學校
智慧生活圈,1,義守大學
全齡友善,1,義守大學
肌力訓練,1,義守大學
營養共餐,1,義守大學
惜食教育,1,耕莘健康管理專科學校
社區冰箱,1,耕莘健康管理專科學校
全食材利用,1,耕莘健康管理專科學校
照顧者關懷,1,耕莘健康管理專科學校
心理韌性,1,耕莘健康管理專科學校
長期照護,1,耕莘健康管理專科學校
三星鄉社區,1,耕莘健康管理專科學校
身心復原力,1,耕莘健康管理專科學校
社會處方,1,耕莘健康管理專科學校
原鄉健康照護,1,耕莘健康管理專科學校
口腔健康促進,1,耕莘健康管理專科學校
科技健康促進,1,耕莘健康管理專科學校
國際健康服務,1,耕莘健康管理專科學校
文化健康站,1,耕莘健康管理專科學校
長者照護,1,耕莘健康管理專科學校
銀髮就醫陪伴,1,致理科技大學
橘色產業,1,致理科技大學
生活互助,1,致理科技大學
數位媒合,1,致理科技大學
銀髮職人,1,致理科技大學
銀髮膳食營養,1,育達科技大學
慢活旅遊,1,育達科技大學
苗栗山城,1,育達科技大學
鳥類生態保育,1,育達科技大學
智慧生態監測,1,育達科技大學
智慧山城,1,育達科技大學
淺山生態保育,1,育達科技大學
偏鄉環境教育,1,育達科技大學
社區永續發展,1,育達科技大學
國際觀光,1,致理科技大學
北海岸,1,致理科技大學
地質旅遊,1,致理科技大學
漁村文化,1,致理科技大學
在地共生,1,致理科技大學
都會型社區,1,臺北醫學大學
居家安全,1,臺北醫學大學
安寧照護,1,臺北醫學大學
照顧者支持,1,臺北醫學大學
醫養結合,1,臺北市立大學
連結工作者,1,臺北市立大學
慈悲關懷社區,1,臺北市立大學
城鄉共伴,1,臺北市立大學
偏鄉照護,1,臺北市立大學
藝術介入,1,華梵大學
石碇老街,1,華梵大學
傳統工藝傳承,1,華梵大學
琴茶文化,1,華梵大學
淡蘭古道,1,華梵大學
節慶創生,1,華梵大學
古道茶旅,1,華梵大學
石碇山村,1,華梵大學
深度旅遊,1,華梵大學
旅創實作,1,華梵大學
都市更新,1,致理科技大學
危老防災,1,致理科技大學
都市再生,1,致理科技大學
社區規劃,1,致理科技大學
板橋社區,1,致理科技大學
街角綠化,1,致理科技大學
水域生態,1,萬能科技大學
河川巡守,1,萬能科技大學
新街溪流域,1,萬能科技大學
惜食經濟,1,輔仁大學
無家者關懷,1,輔仁大學
地方文化誌,1,輔仁大學
社區共生網絡,1,輔仁大學
中壢觀光夜市,1,萬能科技大學
綠色餐飲,1,萬能科技大學
剩食再利用,1,萬能科技大學
廢棄物循環,1,萬能科技大學
社區協作,1,萬能科技大學
低碳永續教育,1,萬能科技大學
都會原住民,1,輔仁大學
家庭教育,1,輔仁大學
都會社區,1,輔仁大學
生活環境博物館,1,輔仁大學
新莊廟街,1,輔仁大學
樂生療養院,1,輔仁大學
塭仔圳重劃區,1,輔仁大學
地方共學,1,輔仁大學
南高雄,1,輔英科技大學
在地安養,1,輔英科技大學
綠色民宿,1,輔英科技大學
智慧淨零,1,逢甲大學
綠色諧能,1,逢甲大學
生質能源,1,逢甲大學
零廢棄物,1,逢甲大學
糖尿病足照護,1,長庚大學
兒少脂肪肝防治,1,長庚大學
部落文健站,1,長庚大學
泰雅族部落,1,長庚大學
文化旅遊,1,銘傳大學
農村品牌,1,銘傳大學
導覽培訓,1,銘傳大學
桃園龜山,1,銘傳大學
部落創生,1,逢甲大學
再生能源,1,逢甲大學
互助經濟,1,逢甲大學
自然農業,1,逢甲大學
社區照顧,1,逢甲大學
兒童發展,1,長庚大學
社區托育,1,長庚大學
身心障礙者,1,長庚大學
精障者工作培力,1,長庚大學
心理健康素養,1,長庚大學
職能治療,1,長庚大學
類職場,1,長庚大學
精神康復,1,長庚大學
高齡健康,1,長庚大學
健康科技應用,1,長庚大學
原民社區,1,長庚大學
社區照護,1,長庚大學
代間共融,1,長庚科技大學
智慧療育,1,長庚科技大學
高齡延緩失能,1,長庚科技大學
弱勢兒童照護,1,長庚科技大學
兒童發展篩檢,1,長庚科技大學
移工健康照護,1,長庚科技大學
跨國護理培力,1,長庚科技大學
嘉義在地關懷,1,長庚科技大學
影像創作培力,1,開南大學
AI影像應用,1,開南大學
媒體素養,1,開南大學
桃園新住民,1,開南大學
紀錄片製作,1,開南大學
社會創新,1,長榮大學
偏鄉人才培育,1,長榮大學
綠色社區,1,長榮大學
根與芽行動,1,長榮大學
跨國實踐,1,長榮大學
新二代陪伴,1,靜宜大學
台中海線,1,靜宜大學
天主堂區,1,靜宜大學
兒少關懷,1,長榮大學
社區綠生活,1,長榮大學
山茶產業,1,長榮大學
三芝社區,1,馬偕醫學大學
失智預防,1,馬偕醫學大學
跌倒預防,1,馬偕醫學大學
偏鄉高齡化,1,馬偕醫學大學
農業生技,1,馬偕醫學大學
茭白筍產業,1,馬偕醫學大學
青年培力,1,馬偕醫學大學
藝術治療,1,馬偕醫學大學
兒童情緒教育,1,馬偕醫學大學
醫學人文關懷,1,馬偕醫學大學
跨域醫療人才,1,馬偕醫學大學
北投關渡,1,馬偕醫護管理專科學校
新住民培力,1,馬偕醫護管理專科學校
那瑪夏,1,高雄醫學大學
國際偏鄉,1,高雄醫學大學
原鄉永續,1,高雄醫學大學
空氣污染,1,高雄醫學大學
南高雄工業區,1,高雄醫學大學
空品監測,1,高雄醫學大學
樂齡共融,1,高雄醫學大學
旗津社區,1,高雄醫學大學
音樂照顧,1,高雄醫學大學
數位共照,1,馬偕醫護管理專科學校
石滬文化,1,龍華科技大學
海廢再生,1,龍華科技大學
循環教育,1,龍華科技大學
自閉症關懷,1,龍華科技大學
特教科技教育,1,龍華科技大學
田園療育,1,龍華科技大學
肯納社福莊園,1,龍華科技大學
